departure_datetime,origin,destination,airline,price_eur,num_stops,travel_time_minutes,days_left
2025-10-17 14:20:00,HAM,AGP,"Eurowings, Avion Express Malta",230,1,315,32
2025-10-19 06:30:00,AGP,HAM,VuelingIberia,190,1,870,34
2025-10-20 19:55:00,AGP,HAJ,Air France,153,1,780,35
2025-10-22 08:35:00,HAJ,AGP,Lufthansa,166,1,305,37
2025-10-23 06:15:00,BRE,AGP,"KLM, Transavia",186,1,345,38
2025-10-24 11:20:00,HAM,GRX,VuelingIberia,246,1,305,39
2025-10-26 22:30:00,GRX,HAM,VuelingIberia,278,1,715,41
2025-10-27 05:35:00,AGP,HAM,"SWISS, Eurowings",318,1,335,42
2025-10-29 11:10:00,HAM,GRX,VuelingIberia,150,1,410,44
2025-10-30 20:45:00,HAM,AGP,VuelingIberia,115,1,715,45
2025-10-31 09:45:00,HAJ,AGP,SWISS,220,1,345,46
2025-11-02 20:30:00,AGP,HAM,VuelingIberia,244,1,835,48
2025-11-03 06:30:00,GRX,HAM,Iberia,328,1,525,49
2026-01-29 10:40:00,MXP,HAM,SWISS,144,1,210,136
2026-01-30 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,137
2026-02-01 17:50:00,HAM,MXP,Eurowings,63,0,105,139
2026-02-02 11:05:00,HAM,MXP,SWISS,136,1,185,140
2026-02-05 15:15:00,MXP,HAM,SWISS,144,1,235,143
2026-02-06 15:05:00,MXP,HAM,SWISS,144,1,255,144
2026-02-08 09:20:00,HAM,MXP,"Lufthansa, Air Dolomiti",129,1,195,146
2026-02-09 11:05:00,HAM,MXP,SWISS,136,1,185,147
2026-02-12 15:15:00,MXP,HAM,SWISS,144,1,235,150
2026-02-13 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,151
2026-02-15 11:30:00,HAM,MXP,Condor,131,1,220,153
2026-02-16 11:05:00,HAM,MXP,SWISS,136,1,185,154
2026-02-19 15:15:00,MXP,HAM,SWISS,144,1,235,157
2026-02-20 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,158
2026-02-22 13:35:00,HAM,MXP,Lufthansa,182,1,185,160
2026-02-23 11:05:00,HAM,MXP,SWISS,136,1,185,161
2026-02-26 06:45:00,MXP,HAM,SWISS,144,1,210,164
2026-02-27 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,165
2026-03-01 18:00:00,HAM,MXP,"Lufthansa, Air Dolomiti",137,1,240,167
2026-03-02 07:05:00,HAM,MXP,Condor,131,1,205,168
2026-03-05 06:45:00,MXP,HAM,SWISS,144,1,210,171
2026-03-06 09:10:00,MXP,HAM,Lufthansa,145,1,235,172
2026-03-08 14:55:00,HAM,MXP,SWISS,189,1,190,174
2026-03-09 14:50:00,HAM,MXP,"SWISS, Air Baltic",136,1,205,175
2026-03-12 06:45:00,MXP,HAM,SWISS,144,1,210,178
2026-03-13 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,179
2026-03-15 18:50:00,HAM,MXP,SWISS,136,1,240,181
2026-03-16 14:50:00,HAM,MXP,"SWISS, Air Baltic",136,1,205,182
2026-03-19 10:40:00,MXP,HAM,SWISS,144,1,210,185
2026-03-20 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,186
2026-03-22 14:55:00,HAM,MXP,"SWISS, Air Baltic",189,1,190,188
2026-03-23 11:05:00,HAM,MXP,Vueling,128,1,360,189
2026-03-26 10:40:00,MXP,HAM,SWISS,144,1,210,192
2026-03-27 14:40:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,205,193
2026-03-29 20:00:00,HAM,MXP,SWISS,136,1,215,195
2026-03-30 09:05:00,HAM,MXP,easyJet,43,0,105,196
2026-04-02 08:35:00,MXP,HAM,Brussels Airlines,194,1,225,199
2026-04-03 14:35:00,MXP,HAM,"Air Dolomiti, Lufthansa",195,1,330,200
2026-04-05 14:00:00,HAM,MXP,Lufthansa,120,1,240,202
2026-04-06 15:00:00,HAM,MXP,Lufthansa,120,1,225,203
2026-01-29 12:15:00,AGP,HAM,Lufthansa,136,1,305,136
2026-01-30 12:15:00,AGP,HAM,Lufthansa,136,1,395,137
2026-02-01 08:25:00,HAM,AGP,"KLM, Transavia",104,1,660,139
2026-02-05 10:05:00,AGP,HAM,Eurowings,72,0,200,143
2026-02-06 13:00:00,AGP,HAM,SWISS,180,1,295,144
2026-02-08 09:20:00,HAJ,AGP,Lufthansa City AirlinesLufthansa,256,1,365,146
2026-02-12 13:00:00,AGP,HAM,SWISS,156,1,295,150
2026-02-13 13:00:00,AGP,HAM,SWISS,135,1,295,151
2026-02-15 07:00:00,HAM,AGP,Iberia,215,1,340,153
2026-02-19 12:15:00,AGP,HAM,Lufthansa,157,1,305,157
2026-02-20 12:15:00,AGP,HAM,Lufthansa,231,1,305,158
2026-02-22 07:00:00,HAM,AGP,Iberia,251,1,340,160
2026-02-26 13:00:00,AGP,HAM,SWISS,135,1,295,164
2026-02-27 12:15:00,AGP,HAM,Lufthansa,231,1,305,165
2026-03-01 06:30:00,HAJ,AGP,Eurowings,260,0,200,167
2026-03-05 22:30:00,GRX,HAJ,Vueling,98,1,855,171
2026-03-06 09:35:00,GRX,HAM,Vueling,98,1,625,172
2026-03-08 20:10:00,HAM,AGP,SWISS,170,1,295,174
2026-03-12 09:10:00,AGP,HAM,Iberia,157,1,365,178
2026-03-13 05:35:00,AGP,HAM,SWISS,156,1,740,179
2026-03-15 20:10:00,HAM,AGP,SWISS,144,1,295,181
2026-03-19 13:00:00,AGP,HAM,SWISS,135,1,295,185
2026-03-20 09:50:00,AGP,BRE,Eurowings,190,1,315,186
2026-03-22 11:05:00,HAM,AGP,VuelingIberia,163,1,375,188
2026-03-26 22:30:00,GRX,HAJ,Vueling,130,1,855,192
2026-03-27 17:35:00,AGP,HAM,Iberia,314,1,305,193
2026-03-29 06:00:00,HAM,AGP,Air France,136,1,780,195
2026-04-02 10:05:00,AGP,HAM,EurowingsLufthansa,160,1,410,199
2026-04-03 22:45:00,GRX,HAM,Vueling,155,1,710,200
2026-04-05 19:15:00,HAM,AGP,SWISS,201,1,295,202
2026-02-12 06:00:00,AGP,TFS,Tap Air Portugal,269,1,430,150
2026-02-13 20:25:00,AGP,TFN,VuelingIberia,65,0,150,151
2026-02-15 20:25:00,TFN,GRX,Vueling,215,1,695,153
2026-02-19 22:30:00,GRX,TFN,Vueling,213,1,740,157
2026-02-20 08:30:00,AGP,TFN,Air Europa,144,1,565,158
2026-02-22 10:30:00,TFN,AGP,VuelingIberia,207,1,350,160
2025-11-13 15:20:00,AGP,HAM,British AirwaysIberia,305,1,345,58
2025-11-15 13:40:00,AGP,HAM,Austrian,284,1,340,60
2025-11-16 12:15:00,AGP,HAM,Lufthansa,347,1,305,61
2025-10-31 22:30:00,GRX,HAM,VuelingIberia,284,1,715,45
2025-11-02 06:00:00,HAM,AGP,Air France,121,1,1060,47
2025-10-29 07:00:00,HAM,MAD,Iberia,133,0,180,43
2025-10-30 11:10:00,HAM,BIO,VuelingIberia,136,1,350,44
2025-10-31 14:20:00,HAM,AGP,Eurowings,220,0,200,45
2025-11-02 12:15:00,MAD,HAM,Iberia,529,0,180,47
2025-11-03 18:05:00,BIO,HAJ,"Air France, HOP!",270,1,240,48
2025-11-07 10:40:00,AGP,HAM,"Transavia, KLM",78,1,435,52
2025-11-09 11:20:00,HAM,AGP,"KLM, Transavia",104,1,500,54
2025-11-05 07:00:00,HAM,MAD,Iberia,126,0,180,50
2025-11-06 07:00:00,HAM,MAD,Iberia,133,0,180,51
2025-11-07 20:45:00,HAM,BIO,VuelingIberia,86,1,695,52
2025-11-09 06:00:00,AGP,HAM,"Tap Air Portugal, Portugalia - Companhia Portuguesa",177,1,350,54
2025-11-10 19:20:00,AGP,HAM,VuelingIberia,128,1,905,55
2025-11-14 13:00:00,AGP,HAM,SWISS,288,1,295,59
2025-11-16 20:45:00,HAM,GRX,Vueling,109,1,735,61
2025-11-12 07:00:00,HAM,MAD,Iberia,120,0,180,57
2025-11-13 06:05:00,HAM,BIO,KLM,104,1,315,58
2025-11-14 20:45:00,HAM,BIO,VuelingIberia,67,1,695,59
2025-11-16 11:55:00,BIO,HAM,KLM,77,1,360,61
2025-11-17 08:00:00,BIO,HAM,"Edelweiss Air, SWISS",167,1,360,62
2025-11-21 15:30:00,AGP,HAM,Brussels Airlines,129,1,405,66
2025-11-23 06:05:00,BRE,AGP,Lufthansa,156,1,345,68
2025-11-19 18:05:00,HAM,BIO,Air France,106,1,260,64
2025-11-20 10:50:00,HAJ,AGP,"KLM, Transavia",113,1,520,65
2025-11-21 07:00:00,HAM,MAD,Iberia,91,0,180,66
2025-11-23 19:05:00,AGP,HAM,Eurowings,150,0,200,68
2025-11-24 12:50:00,BIO,HAM,Lufthansa,196,1,255,69
